city,city_ascii,lat,lng,country,region,capital,population,id
Hamilton,Hamilton,43.25,-79.83,Canada,Ontario,1124567288
Kitchener,Kitchener,43.45,-80.5,Canada,Ontario,1124158530
Victoria,Victoria,48.4333,-123.35,Canada,British Columbia,1124147219
Orangeville,Orangeville,43.9171,-80.0833,Canada,Ontario,1124566061
Sandspit,Sandspit,53.2404,-131.8333,Canada,British Columbia,1124264846
Wawa,Wawa,48.0004,-84.7833,Canada,Ontario,1124381797
Kangirsuk,Kangirsuk,60.0248,-69.9991,Canada,Québec,1124276361
Shawinigan,Shawinigan,46.5504,-72.7333,Canada,Québec,1124441118
Hearst,Hearst,49.7005,-83.6666,Canada,Ontario,1124376843
Pukatawagan,Pukatawagan,55.7333,-101.3166,Canada,Manitoba,1124927414
Arviat,Arviat,61.1086,-94.0586,Canada,Nunavut,1124309634
Matagami,Matagami,49.7504,-77.6333,Canada,Québec,1124686252
Saint John,Saint John,45.267,-66.0767,Canada,New Brunswick,1124631364
Inuvik,Inuvik,68.35,-133.7,Canada,Northwest Territories,1124116419
Chesterfield Inlet,Chesterfield Inlet,63.3383,-90.7001,Canada,Nunavut,1124208484
Rouyn-Noranda,Rouyn-Noranda,48.25,-79.0332,Canada,Québec,1124267752
Liverpool,Liverpool,44.04,-64.72,Canada,Nova Scotia,1124159558
Montréal,Montreal,45.5,-73.5833,Canada,Québec,1124586170
Shelburne,Shelburne,43.7656,-65.3194,Canada,Nova Scotia,1124659892
Yarmouth,Yarmouth,43.8308,-66.1126,Canada,Nova Scotia,1124983867
Salluit,Salluit,62.1826,-75.6595,Canada,Québec,1124962070
Ivugivik,Ivugivik,62.4166,-77.9,Canada,Québec,1124828045
Québec,Quebec,46.84,-71.2456,Canada,Québec,1124823933
Dawson City,Dawson City,64.0666,-139.4167,Canada,Yukon,1124075766
Moncton,Moncton,46.0833,-64.7667,Canada,New Brunswick,1124521303
Digby,Digby,44.6226,-65.7605,Canada,Nova Scotia,1124797865
Fredericton,Fredericton,45.95,-66.6333,Canada,New Brunswick,1124061289
Dease Lake,Dease Lake,58.4503,-130.0333,Canada,British Columbia,1124864417
Charlottetown,Charlottetown,46.2493,-63.1313,Canada,Prince Edward Island,1124897699
Inukjuak,Inukjuak,58.47,-78.136,Canada,Québec,1124369757
Sarnia,Sarnia,42.9666,-82.4,Canada,Ontario,1124509835
Edmundston,Edmundston,47.3794,-68.3333,Canada,New Brunswick,1124274233
Joliette,Joliette,46.0333,-73.4333,Canada,Québec,1124841554
Amherst,Amherst,45.8166,-64.2166,Canada,Nova Scotia,1124895094
Sept-Îles,Sept-Iles,50.3161,-66.36,Canada,Québec,1124406431
